channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-503199,-384904,1196203,-8388608,-8363047,-8388608,-8388608,-7999526,1405293719.665,7
-624128,-473366,1253551,-8388608,-8388608,-8388608,-8388608,-8154347,1405293719.672,7
-699352,-517944,-215644,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.679,7
-586164,-446450,1395184,-8388608,-8388608,-8388608,-8388608,-8053019,1405293719.687,7
-732457,-541396,-327996,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.694,7
-541806,-409912,753622,-8388608,-8388608,-8388608,-8388608,-8227429,1405293719.7,7
-769556,-573836,373591,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.707,7
-570530,-429701,516548,-8388608,-8388608,-8388608,-8388608,-8359924,1405293719.716,7
-736497,-551171,629439,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.723,7
-603558,-451974,289188,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.728,7
-505923,-388246,1458133,-8388608,-8278564,-8388608,-8388608,-7914156,1405293719.736,7
-808162,-597082,-358484,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.743,7
-499243,-382463,1344133,-8388608,-8310467,-8388608,-8388608,-7947834,1405293719.751,7
-815200,-602892,-241877,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.757,7
-670651,-498387,-88809,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.765,7
-619684,-470264,1275267,-8388608,-8388608,-8388608,-8388608,-8151176,1405293719.772,7
-703734,-521083,-231547,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.778,7
-581713,-443459,1408003,-8388608,-8388608,-8388608,-8388608,-8053191,1405293719.787,7
-737207,-545292,-339548,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.793,7
-546192,-413496,721462,-8388608,-8388608,-8388608,-8388608,-8254632,1405293719.802,7
-765941,-571656,405935,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.806,7
-576333,-433815,485391,-8388608,-8388608,-8388608,-8388608,-8387137,1405293719.814,7
-733016,-548984,660736,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.822,7
-794096,-586817,-405262,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.829,7
-506140,-388236,1444414,-8388608,-8286492,-8388608,-8388608,-7926854,1405293719.834,7
-810821,-599321,-347046,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.843,7
-501625,-384841,1323290,-8388608,-8322069,-8388608,-8388608,-7965509,1405293719.851,7
-814779,-602311,-219722,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.858,7
-673845,-500414,-100199,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.863,7
-616676,-468324,1290821,-8388608,-8388608,-8388608,-8388608,-8148445,1405293719.871,7
-707589,-524084,-242459,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.878,7
-579347,-441454,1417959,-8388608,-8388608,-8388608,-8388608,-8052161,1405293719.887,7
-740438,-547118,-345836,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.892,7
-550131,-415798,695026,-8388608,-8388608,-8388608,-8388608,-8280584,1405293719.901,7
-762983,-569467,439274,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.907,7
-580446,-436698,457272,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.913,7
-727637,-545340,692224,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.92,7
-796147,-588161,-401079,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.929,7
-505280,-388112,1430940,-8388608,-8293578,-8388608,-8388608,-7939688,1405293719.936,7
-811866,-599578,-339212,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.942,7
-501737,-385492,1302975,-8388608,-8334432,-8388608,-8388608,-7983617,1405293719.95,7
-815144,-602542,-208218,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.957,7
-678191,-502995,-127348,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.964,7
-612303,-464886,1305306,-8388608,-8388608,-8388608,-8388608,-8144269,1405293719.97,7
-711061,-526312,-261751,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.978,7
-574355,-438122,1427566,-8388608,-8388608,-8388608,-8388608,-8049937,1405293719.987,7
